kategori,nama_wisata,latitude,longitude,alamat,provinsi,kota_kabupaten,nama_lengkap,deskripsi,path,path_gambar
air terjun,Air Terjun Aling-Aling,-8.1767917,115.1062843,"Air Terjun Aling-Aling, Panji Anom, Buleleng, Bali, Nusa Tenggara, 81161, Indonesia",Bali,Buleleng,"Air Terjun Aling-Aling, Buleleng, Bali",Deskripsi tidak ditemukan,gambar_wisata/Air_Terjun_Aling-Aling,gambar_wisata/Air_Terjun_Aling-Aling
air terjun,Air Terjun Bantimurung,-5.0165199,119.6855203,"Air Terjun Bantimurung, Jalan Poros Bantimurung, Maros, Jenetaesa, Sulawesi Selatan, Sulawesi, Indonesia",Sulawesi Selatan,Sulawesi,"Air Terjun Bantimurung, Sulawesi, Sulawesi Selatan","Air Terjun Bantimurung adalah salah satu air terjun yang telah menjadi eksotisme objek wisata permandian dan air terjun andalan Sulawesi Selatan dari tahun 1980-an hingga saat ini. Lokasi air terjun ini berada tepat di Dusun Bantimurung, Desa Jenetaesa, Kecamatan Simbang, Kabupaten Maros, Provinsi Sulawesi Selatan, Indonesia.",gambar_wisata/Air_Terjun_Bantimurung,gambar_wisata/Air_Terjun_Bantimurung
air terjun,Air Terjun Benang Kelambu,-8.5327696,116.3370113,"Air Terjun Benang Kelambu, Pemotoh, Lombok Tengah, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",Nusa Tenggara Barat,Lombok Tengah,"Air Terjun Benang Kelambu, Lombok Tengah, Nusa Tenggara Barat",Deskripsi tidak ditemukan,gambar_wisata/Air_Terjun_Benang_Kelambu,gambar_wisata/Air_Terjun_Benang_Kelambu
air terjun,Air Terjun Benang Stokel,-8.5330355,116.3413791,"Air Terjun Benang Stokel, Pemotoh, Lombok Tengah, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",Nusa Tenggara Barat,Lombok Tengah,"Air Terjun Benang Stokel, Lombok Tengah, Nusa Tenggara Barat",Deskripsi tidak ditemukan,gambar_wisata/Air_Terjun_Benang_Stokel,gambar_wisata/Air_Terjun_Benang_Stokel
air terjun,Air Terjun Bidadari,-2.9283607,107.8390425,"Air Terjun Bidadari, Nyuruk, Belitung Timur, Kepulauan Bangka Belitung, Sumatera, Indonesia",Kepulauan Bangka Belitung,Belitung Timur,"Air Terjun Bidadari, Belitung Timur, Kepulauan Bangka Belitung",Berikut ini adalah daftar air terjun di Indonesia. Daftar ini tidak lengkap dan hanya dapat dijadikan acuan sementara.,gambar_wisata/Air_Terjun_Bidadari,gambar_wisata/Air_Terjun_Bidadari
air terjun,Air Terjun Coban Rondo,-7.8847333,112.4769702,"Coban Rondo, Kabupaten Malang, Jawa Timur, Jawa, 65912, Indonesia",Jawa Timur,Kabupaten Malang,"Air Terjun Coban Rondo, Kabupaten Malang, Jawa Timur","Air Terjun Coban Rondo merupakan air terjun yang terletak di Kecamatan Pujon, Kabupaten Malang, Jawa Timur. Air terjun ini mudah dijangkau oleh kendaraan umum.",gambar_wisata/Air_Terjun_Coban_Rondo,gambar_wisata/Air_Terjun_Coban_Rondo
air terjun,Air Terjun Coban Talun,-7.8020389,112.5170485,"Air Terjun Coban Talun, Kota Batu, Jawa Timur, Jawa, 65336, Indonesia",Jawa Timur,Kota Batu,"Air Terjun Coban Talun, Kota Batu, Jawa Timur",Deskripsi tidak ditemukan,gambar_wisata/Air_Terjun_Coban_Talun,gambar_wisata/Air_Terjun_Coban_Talun
air terjun,Air Terjun Curug Dengdeng,-7.641818,108.324676,"AIR TERJUN CURUG DENGDENG, Jalan Cikaret Babakan, RW 08, Mekarsari, Tasikmalaya, Jawa Barat, Jawa, Indonesia",Jawa Barat,Tasikmalaya,"Air Terjun Curug Dengdeng, Tasikmalaya, Jawa Barat",Deskripsi tidak ditemukan,gambar_wisata/Air_Terjun_Curug_Dengdeng,gambar_wisata/Air_Terjun_Curug_Dengdeng
air terjun,Air Terjun Dolo,-7.8706373,111.8354398,"Air Terjun Dolo, Mojo, Kabupaten Kediri, Jawa Timur, Jawa, Indonesia",Jawa Timur,Kabupaten Kediri,"Air Terjun Dolo, Kabupaten Kediri, Jawa Timur","Air Terjun Dolo adalah salah satu tempat wisata air terjun yang terletak di Dusun Besuki, Desa Jugo, Kecamatan Mojo, Kabupaten Kediri, Jawa Timur. Air terjun ini berada di bagian timur lereng Gunung Wilis (2.850 meter), yang memiliki ketinggian 125 meter dan 1800 meter di atas permukaan laut (dpl).",gambar_wisata/Air_Terjun_Dolo,gambar_wisata/Air_Terjun_Dolo
air terjun,Air Terjun Jumog,-7.6312129,111.1269212,"Air Terjun Jumog, Jalur Pendakian Gunung Lawu via Tambak, Berjo, Karanganyar, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Karanganyar,"Air Terjun Jumog, Karanganyar, Jawa Tengah",Deskripsi tidak ditemukan,gambar_wisata/Air_Terjun_Jumog,gambar_wisata/Air_Terjun_Jumog
